Song_Name,Song_Link,Artist_Name,Stream_Count,Release Date,Composer Nmae,Original Song Estimate
hotline bling (piano version),60TrpT9pJz3vyuHvvFqz9E,goated.,3853013,2023-08-10,,{'spotify': 'https://open.spotify.com/track/1sfgo7sNaMnObhtp1OEJlB'}
rises the moon (piano version),5KfQ19hqyWYVJHiMKiiQeg,goated.,2487239,2023-08-10,Liana Flores,{'spotify': 'https://open.spotify.com/track/51Grh1RyUDcMBbpuyUIUHI'}
Adieux,1ymzdmQYjO3ThdlToYZnTq,Ludovico Einaudi,61015352,2024-01-05,Ludovico Einaudi,{'spotify': 'https://open.spotify.com/track/1ymzdmQYjO3ThdlToYZnTq'}
Nuvole Bianche,3weNRklVDqb4Rr5MhKBR3D,Ludovico Einaudi,417213338,2004-01-01,Ludovico Einaudi,{'spotify': 'https://open.spotify.com/track/3weNRklVDqb4Rr5MhKBR3D'}
Una Mattina,0Dkibk70FDp6t7eOZNemNQ,Ludovico Einaudi,261672514,2004-01-01,Ludovico Einaudi,{'spotify': 'https://open.spotify.com/track/0Dkibk70FDp6t7eOZNemNQ'}
The Tree,6eir7TDacjXjFscPxDFHC4,Ludovico Einaudi,68004261,2023-01-06,Ludovico Einaudi,{'spotify': 'https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5'}
New Home,707BRCe5feUySwv7141QeA,Austin Farwell,90707679,2021-05-11,Austin Farwell,{'spotify': 'https://open.spotify.com/track/6h6runZeeczWEuEW2pFvYW'}
New Home (Slowed),6h6runZeeczWEuEW2pFvYW,Austin Farwell,97173179,2021-05-26,Austin Farwell,{'spotify': 'https://open.spotify.com/track/6h6runZeeczWEuEW2pFvYW'}
Once Upon a Time,7pcGcVUN9m12lfNuS3Xz8I,Austin Farwell,38984329,2022-02-01,Austin Farwell,{'spotify': 'https://open.spotify.com/track/6NyXDWD1bH0fwBrShjSydJ'}
Take Me Away,4DuqewHH7zlFgJvJ3kO7sd,Austin Farwell,38718111,2020-12-29,Austin Farwell,{'spotify': 'https://open.spotify.com/track/3SQqBIYN8fPB3wPjFGRS5N'}
Dreamscape,7CcNtj0n4GiioFasxa9Nfc,Austin Farwell,27367341,2021-01-17,Austin Farwell,{'spotify': 'https://open.spotify.com/track/7CcNtj0n4GiioFasxa9Nfc'}
Je te laisserai de mots,1491Kis263uUWf18sDnYSG,noel.smt,36828697,2022-03-01,Je te laisserai de mots,{'spotify': 'https://open.spotify.com/track/1491Kis263uUWf18sDnYSG'}
Escape,65HfR1BpotW0ES46KD6Gv8,Kilgore Doubtfire,17281478,2022-03-03,Stephen Lee Radtke,{'spotify': 'https://open.spotify.com/track/3VpxEo6vMpi4rQ6t2WVVkK'}
Avril 14th,2MZSXhq4XDJWu6coGoXX1V,Aphex Twin,186689256,2001-10-22,,{'spotify': 'https://open.spotify.com/track/1uaGSDFsLdReQgg8p7Obwh'}
Oceans (Where Feet May Fail),3kLPbdpMndqxs37Xg1ELJP,"Hillsong Instrumentals, David Andrew",16194024,2015-03-13,"Matt Crocker, Joel Houston & Salomon Ligthelm",{'spotify': 'https://open.spotify.com/track/5SDcksP8En1l6RtTY1wzHc'}
God is Able,1UgOLsLX4zTbo94KgfrgSR,"Hillsong Instrumentals, David Andrew",14066621,2015-03-13,Reuben Morgan & Ben Fielding,{'spotify': 'https://open.spotify.com/track/5dTg6siS27l7o2ZYWdkFoq'}
Broken Vessels (Amazing Grace),3eo8T6HMnPXgbRvNmhVyjP,"Hillsong Instrumentals, David Andrew",12890627,2015-03-13,Jonas Myrin & Joel Houston,{'spotify': 'https://open.spotify.com/track/35WtFQK3iG2WPjstuuKaVc'}
Cornerstone,4xYBZdE02UZR00nJ6VsnuL,"Hillsong Instrumentals, David Andrew",12402736,2015-03-13,"Jonas Myrin, Reuben Morgan & Eric Liljero",{'spotify': 'https://open.spotify.com/track/23STcG7v9HNwdqnROFSS8n'}
Lead Me To The Cross,0FYt2EQyadmIO5GASrej1p,"Hillsong Instrumentals, David Andrew",12200444,2015-03-13,Brooke Ligertwood,{'spotify': 'https://open.spotify.com/track/4coyTsdD4WcknP6e9uLAO0'}
God Really Loves Us - Instrumental,31YVXZAxGrN3cmlI7ZumdD,draw close,9660809,2023-05-19,Ben Flover Dante Bowe Jeff Sojka Crowder,{'spotify': 'https://open.spotify.com/track/1pDKzl0oWh9jWfCCt8cIbE'}
Nothing I Hold Onto - Instrumental,530WLKSd0ntu0f2aNRaOu3,draw close,9248219,2022-09-16,Will Reagan,{'spotify': 'https://open.spotify.com/track/539c2itqsvh49sdfyibjcj'}
I'm So Blessed - Instrumental,5P0uGmMs6wIuGZO2JwShic,draw close,8429584,2023-05-19,Jonathan Smith Logan Cain Madison Cain Johnson Matthew West Taylor Cain Matz,{'spotify': 'https://open.spotify.com/track/5XGniDG0zvebIt0KEBAvsO'}
o how wonderful - Instrumental,7MKEZuJngdoyAE8EPnpUFZ,draw close,8525705,2023-03-17,Dana Robert Miller,{'spotify': 'https://open.spotify.com/track/7MKEZuJngdoyAE8EPnpUFZ'}
In Jesus Name (God of Possible) - Instrumental,6AMhxfecjU8WERLKHHNxpv,draw close,8158268,2022-08-26,Katy Nichole,{'spotify': 'https://open.spotify.com/track/18lQZaMVdNa4qwbi3tHPKP'}
Turn Your Eyes Upon Jesus - Instrumental,37X1acbCsTYotrbAuZcEOH,Piano Praises,7149475,2023-03-24,Dawson Meier,{'spotify': 'https://open.spotify.com/track/0LkK4ePBHSZ86gIwMYgYbO'}
