Key,Counter
ebMajor,14
gMajor,10
dbMajor,13
cMajor,19
bMajor,7
eMajor,7
aMajor,10
csMinor,1
dMajor,9
fsMajor,4
bbMajor,14
abMajor,3
fsMinor,2
fMajor,7
dMinor,1
aMinor,1
eMinor,2
bMinor,1
fMinor,1
