Sub Genre,Counter
folk,23
folkRock,18
indieAlternative,25
psychedelicProgressiveRock,5
country,15
neoSoul,4
popSoftRock,30
bluesRock,4
gospel,2
soul,3
deepHouse,1
house,1
trance,1
synthPop,1
trap,1
popRap,1
