Key,Counter
dbMajor,3
gMajor,1
cMajor,4
gMinor,1
abMajor,2
dMinor,2
fMajor,5
ebMajor,3
fsMajor,1
aMajor,2
dMajor,5
bbMajor,7
bbMinor,1
cMinor,1
bMajor,1
eMajor,1
