Key,Counter
eMinor,2
gMajor,2
fMajor,7
aMajor,10
csMinor,1
ebMajor,5
eMajor,8
bMajor,8
cMajor,13
bbMajor,7
dMajor,9
fsMajor,6
aMinor,1
fsMinor,1
dbMajor,10
bbMinor,1
cMinor,1
gsMinor,1
abMajor,2
gMinor,2
dMinor,1
bMinor,1
