Musical Era,Counter
contemporary,62
late 1990s / early 2000s,3
early / mid 2000s,6
late 2000s / contemporary,15
late 1980s / early 1990s,3
mid / late 2000s,7
late 1970s / early 1980s,1
early / mid 1990s,1
mid / late 1990s,1
