Musical Era,Counter
contemporary,21
late 1990s / early 2000s,21
late 2000s / contemporary,8
early / mid 2000s,15
mid / late 1970s,5
late 1980s / early 1990s,12
mid / late 2000s,7
mid / late 1990s,13
early / mid 1980s,5
early / mid 1990s,7
late 1950s / early 1960s,1
early / mid 1970s,3
late 1960s / early 1970s,1
late 1970s / early 1980s,6
mid / late 1980s,4
