Key,Counter
dMinor,16
gMajor,14
bbMajor,5
aMinor,7
aMajor,5
dMajor,9
gMinor,9
dbMajor,4
cMajor,12
eMinor,6
cMinor,5
fMajor,6
bMinor,3
csMinor,3
abMajor,3
eMajor,5
fMinor,4
ebMajor,6
fsMajor,3
dsMinor,1
fsMinor,2
bbMinor,1
